movieId,title,joined_features
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),ligong baotianli xiaoxiaowang feiyubi nan crime drama 
31,Dangerous Minds (1995),michellepfeiffer georgedzundza courtneyb.vance louannejohnson teacher student relationship ex marine pregnancy high school principal drama 
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),josephmelito brucewillis jonseda chrismarker time travel virus mental institution underground mystery sci-fi thriller 
33,Wings of Courage (1995),craigsheffer tomhulce elizabethmcgovern alaingodard airmail period piece 3 dimensional adventure romance imax 
34,Babe (1995),christinecavanaugh miriammargolyes dannymann dickking-smith farmer pig sheep farm children drama 
35,Carrington (1995),emmathompson jonathanpryce stevenwaddington christopherhampton writer gay rape f rated drama romance 
36,Dead Man Walking (1995),susansarandon seanpenn robertprosky helenprejean nun solitary confinement execution capital punishment crime drama 
37,Across the Sea of Time (1995),peterreznick johnmcdonough avihoffman stephenlow donald trump immigrant 11 year old brooklyn new york city documentary imax 
38,It Takes Two (1995),kirstiealley steveguttenberg mary-kateolsen deborahdeandavis mistaken identity identity swapping nylon stockings child plays matchmaker children comedy 
39,Clueless (1995),aliciasilverstone staceydash brittanymurphy amyheckerling miniskirt girl wears a miniskirt short skirt virgin comedy romance 
40,"Cry, the Beloved Country (1995)",jamesearljones richardharris vusikunene ronaldharwood 1940s racial tension apartheid south africa drama 
41,Richard III (1995),christopherbowen edwardjewesbury ianmckellen ianmckellen fascist dog tank battle drama war 
42,Dead Presidents (1995),larenztate keithdavid christucker allenhughes vietnam war 1960s black panthers new york city action crime drama 
43,Restoration (1995),robertdowneyjr. samneill davidthewlis rosetremain 17th century plague based on novel king charles ii drama 
44,Mortal Kombat (1995),christopherlambert robinshou lindenashby edboon based on video game campy evil man villain action adventure fantasy 
45,To Die For (1995),nicolekidman mattdillon joaquinphoenix joycemaynard scantily clad female new hampshire television coitus comedy drama thriller 
46,How to Make an American Quilt (1995),kaelynncraddick saracraddick katecapshaw whitneyotto younger version of character triple f rated title directed by female love drama romance 
47,Seven (a.k.a. Se7en) (1995),morganfreeman andrewkevinwalker danielzacapa andrewkevinwalker serial killer detective serial murder seven deadly sins mystery thriller 
48,Pocahontas (1995),joebaker christianbale irenebedard ericgoldberg unsubtitled foreign language disobedience pocahontas character captain john smith character animation children drama musical romance 
49,When Night Is Falling (1995),pascalebussières rachaelcrawford henryczerny patriciarozema christian teacher scissoring tribadism drama romance 
50,"Usual Suspects, The (1995)",stephenbaldwin gabrielbyrne beniciodeltoro christophermcquarrie criminal suspect criminal mastermind flashback crime mystery thriller 
51,Guardian Angel (1994),cynthiarothrock danielmcvicar lydiedenier richardw.munchkin murder of a police officer shooting a police officer police officer police officer killed action drama thriller 
52,Mighty Aphrodite (1995),pamelablair reneceballos eliechaib woodyallen new york city talking about sex husband wife relationship hot comedy drama romance 
53,Lamerica (1994),enricoloverso micheleplacido piromilkani gianniamelio albania one word title poverty fraud adventure drama 
54,"Big Green, The (1995)",steveguttenberg oliviad'abo jayo.sanders hollygoldbergsloan close up of eyes texas fast motion sports team children comedy 
55,Georgia (1995),jenniferjasonleigh marewinningham tedlevine barbaraturner voyeur sex in bed female rear nudity female frontal nudity drama 
56,Kids of the Round Table (1995),johnnymorina maggiecastle christopherolscamp roberttinnell sword magic 11 year old boy adventure children comedy fantasy 
57,Home for the Holidays (1995),hollyhunter robertdowneyjr. annebancroft chrisradant thanksgiving gay sibling female protagonist dysfunctional family drama 
58,"Postman, The (Postino, Il) (1994)",philippenoiret massimotroisi mariagraziacucinotta massimotroisi postman poetry island poet comedy drama romance 
59,"Confessional, The (Confessionnal, Le) (1995)",lothairebluteau patrickgoyette jean-louismillette robertlepage reference to joan of arc 1950s priest hitchcockian drama mystery 
60,"Indian in the Cupboard, The (1995)",halscardino litefoot lindsaycrouse lynnereidbanks robocop character five word title child protagonist miniature person adventure children fantasy 
61,Eye for an Eye (1996),sallyfield edharris oliviaburnette erikaholzer pantyhosed leg rape vigilante rape and murder drama thriller 
62,Mr. Holland's Opus (1995),richarddreyfuss glenneheadly jaythomas patricksheaneduncan teaching high school 1990s deafness drama 
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),shawnwayans marlonwayans traceycherellejones southcentral hood parody grandmother cult film comedy crime 
64,Two if by Sea (1996),denisleary sandrabullock stephendillane denisleary painting island thief voyeur comedy romance 
65,Bio-Dome (1996),williamatherton denisedowse daratomanovich adamleff bio dome experiment biosphere slapstick comedy comedy 
66,Lawnmower Man 2: Beyond Cyberspace (1996),patrickbergin mattfrewer austino'brien farhadmann psychotronic film computer parking garage sword action sci-fi thriller 
67,Two Bits (1995),jerrybarone maryelizabethmastrantonio alpacino josephstefano man wears eyeglasses old man suicide by hanging great depression drama 
68,French Twist (Gazon maudit) (1995),victoriaabril josianebalasko alainchabat patrickaubrée f rated lesbian strong female character polyamorous relationship comedy romance 
69,Friday (1995),icecube christucker nialong icecube adult lives at home hat drug user drug comedy 
70,From Dusk Till Dawn (1996),georgeclooney quentintarantino harveykeitel robertkurtzman sex offender vampire stripper rape victim action comedy horror thriller 
71,Fair Game (1995),williambaldwin cindycrawford stevenberkoff paulagosling female lawyer spy based on novel woman in jeopardy action 
72,Kicking and Screaming (1995),joshhamilton samuelgould catherinekellner noahbaumbach female stockinged legs pantyhose slacker beer drinking comedy drama 
73,"Misérables, Les (1995)",jean-paulbelmondo michelboujenah alessandramartines victorhugo lawyer boxer jewish paris france drama war 
74,Bed of Roses (1996),christianslater marystuartmasterson pamelaadlon michaelgoldenberg florist flower widower rooftop drama romance 
75,Big Bully (1996),rickmoranis tomarnold juliannephillips markstevenjohnson close up of eyes close up of lips close up of mouth bully comedy drama 
76,Screamers (1995),peterweller roydupuis jenniferrubin philipk.dick stop motion matte painting miniature model shakespearean quotation action sci-fi thriller 
77,Nico Icon (1995),nico tinaaumont christianpäffgen susanneofteringer f rated female musician singer songwriter interview documentary 
78,"Crossing Guard, The (1995)",jacknicholson davidmorse anjelicahuston seanpenn hit and run obsession forgiveness loneliness action crime drama thriller 
79,"Juror, The (1996)",demimoore alecbaldwin josephgordon-levitt georgedawesgreen female frontal nudity female nudity ankle holster ankle drama thriller 
80,"White Balloon, The (Badkonake sefid) (1995)",aidamohammadkhani mohsenkafili fereshtehsadreorafaiy abbaskiarostami money little girl shopkeeper snake charmer children drama 
81,Things to Do in Denver When You're Dead (1995),andygarcia christopherlloyd williamforsythe scottrosenberg debt contract killer one last job gangster crime drama romance 
82,Antonia's Line (Antonia) (1995),willekevanammelrooy elsdottermans doravandergroen marleengorris f rated feminist film character name as title one word title comedy drama 
83,Once Upon a Time... When We Were Colored (1995),alfreemanjr. phyliciarashad leon cliftonl.taulbert segregation rural setting race relations prejudice drama romance 
84,Last Summer in the Hamptons (1995),victoriafoyt vivecalindfors jonrobinbaitz henryjaglom f rated long island actress written and directed by cast member comedy drama 
85,Angels and Insects (1995),markrylance kristinscottthomas patsykensit a.s.byatt aristocrat insect england bare chested male drama romance 
86,White Squall (1996),jeffbridges carolinegoodall johnsavage charlesgiegjr. sail squall storm male bonding action adventure drama 
87,Dunston Checks In (1996),jasonalexander fayedunaway ericlloyd johnhopkins brother brother relationship air duct hotel owner concierge children comedy 
88,Black Sheep (1996),chrisfarley davidspade timmatheson fredwolf clumsiness embarrassment political campaign slapstick comedy comedy 
89,Nick of Time (1995),johnnydepp courtneychase charless.dutton patricksheaneduncan real time conservatism vigilantism character repeats someone else's dialogue action thriller 
90,The Journey of August King (1995),jasonpatric thandienewton larrydrake johnduigan slave freedom slave owner law drama 
92,Mary Reilly (1996),juliaroberts johnmalkovich georgecole valeriemartin housemaid servant laboratory butler drama horror thriller 
93,Vampire in Brooklyn (1995),eddiemurphy angelabassett allenpayne eddiemurphy vampire yellow eyes african american brooklyn new york city comedy horror romance 
94,Beautiful Girls (1996),mattdillon noahemmerich annabethgish scottrosenberg cheating wife skank loves knows no age boundaries bangs comedy drama romance 
95,Broken Arrow (1996),johntravolta christianslater samanthamathis grahamyost male male relationship good versus evil evil man villain action adventure thriller 
96,In the Bleak Midwinter (1995),richardbriers hettacharnley joancollins kennethbranagh christmas actor play british renaissance comedy drama 
97,"Hate (Haine, La) (1995)",vincentcassel hubertkoundé saïdtaghmaoui mathieukassovitz police arab gun ghetto crime drama 
98,Shopping (1994),sadiefrost judelaw seanpertwee paulw.s.anderson shopping shop shopping mall stealing action thriller 
99,Heidi Fleiss: Hollywood Madam (1995),nickbroomfield ninaxiningzuo madamalex nickbroomfield narration prostitution documentary 
100,City Hall (1996),alpacino johncusack bridgetfonda kenlipper mayor dealer drug dealer deputy mayor drama thriller 
101,Bottle Rocket (1996),lukewilson owenwilson neddowd owenwilson texas caper dark comedy motel adventure comedy crime romance 
102,Mr. Wrong (1996),ellendegeneres billpullman joancusack chrismatheson date single woman television studio stalker comedy 
103,Unforgettable (1996),rayliotta lindafiorentino petercoyote billgeddie self experimentation implanted memory murder memory mystery sci-fi thriller 
104,Happy Gilmore (1996),adamsandler christophermcdonald juliebowen timherlihy golf golf ball golf course black panties comedy 
105,"Bridges of Madison County, The (1995)",clinteastwood merylstreep anniecorley merylstreep bridge love farm photographer drama romance 
106,Nobody Loves Me (Keiner liebt mich) (1994),mariaschrader pierresanoussi-bliss michaelvonau dorisdörrie f rated female nudity bath comedy drama 
107,Muppet Treasure Island (1996),timcurry billyconnolly jennifersaunders davidlane breaking the fourth wall miss piggy character swedish chef character kermit the frog character adventure children comedy musical 
108,Catwalk (1996),christyturlington azzedinealaïa giorgioarmani robertleacock fashion paris france one word title new york city documentary 
109,Headless Body in Topless Bar (1995),raymondj.barry rustambranaman jennifermacdonald jamesbruce topless bar topless stripper jeans comedy drama thriller 
110,Braveheart (1995),jamesrobinson seanlawlor sandynelson randallwallace scotland revolt based on true story england action drama war 
111,Taxi Driver (1976),nan nan nan crime drama thriller 
112,Rumble in the Bronx (Hont faan kui) (1995),jackiechan anitamui françoiseyip edwardtang coors light coast guard helicopter collapsing building action adventure comedy crime 
113,Before and After (1996),merylstreep liamneeson edwardfurlong rosellenbrown based on novel suspect lie boyfriend girlfriend relationship drama mystery 
114,Margaret's Museum (1995),helenabonhamcarter cliverussell craigolejnik sheldoncurrie alliteration in title two word title name in title female name in title drama 
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",michelserrault eddymitchell sabineazéma étiennechatiliez claim in title rural setting gascony missing person comedy 
116,Anne Frank Remembered (1995),kennethbranagh jannybrandes-brilslijper glennclose jonblair reference to anne frank 1940s 1930s soldier documentary 
117,"Young Poisoner's Handbook, The (1995)",tobiasarnold ruthsheen rogerlloydpack benjaminross poisoner murderer death by poison murder by poison crime drama 
118,If Lucy Fell (1996),sarahjessicaparker ericschaeffer benstiller ericschaeffer love roommate new york city lingerie slip comedy romance 
119,"Steal Big, Steal Little (1995)",andygarcia alanarkin rachelticotin andrewdavis lawyer estate twin brother brother brother relationship comedy 
120,Race the Sun (1996),halleberry jimbelushi billhunter barrymorrow high school student teenage boy teenage girl solar car adventure comedy drama 
121,"Boys of St. Vincent, The (1992)",henryczerny johnnymorina briandooley deswalsh orphanage boy priest sexual abuse drama 
122,Boomerang (1992),eddiemurphy robingivens halleberry barryw.blaustein advertising executive african american protagonist yuppie chauvinist comedy romance 
123,Chungking Express (Chung Hing sam lam) (1994),brigittelin tonychiu-waileung fayewong kar-waiwong hong kong spoken inner thoughts drug smuggling expiration date drama mystery romance 
124,"Star Maker, The (Uomo delle stelle, L') (1995)",sergiocastellitto tizianalodato francoscaldati giuseppetornatore girl nipples breasts unfaithfulness drama 
125,Flirting With Disaster (1996),benstiller patriciaarquette téaleoni davido.russell road movie husband wife relationship overalls dysfunctional family comedy 
126,"NeverEnding Story III, The (1994)",jasonjamesrichter melodykay jackblack jefflieberman sequel by name only cult film playing guitar new kid in school adventure children fantasy 
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",hindsabri ghalialacroix nejiaouerghi nouribouzid belly dancing pregnant from rape teenage sexuality pregnant woman vomiting drama 
128,Jupiter's Wife (1994),maggiecogan katinapendleton michelnegroponte central park american society for the prevention of cruelty to animals park actor documentary 
129,Pie in the Sky (1996),joshcharles anneheche johngoodman bryangordon dance traffic jam traffic helicopter comedy romance 
130,Angela (1995),mirandarhyne charlotteeveblythe annathomson rebeccamiller girl mental illness tween girl sister sister relationship drama 
131,Frankie Starlight (1995),corbanwalker nialltoibin owenroe ronano'leary boy ireland writer flashback drama romance 
132,Jade (1995),davidcaruso lindafiorentino chazzpalminteri joeeszterhas female full frontal nudity murder of a nude woman panties pulled down breasts thriller 
133,Nueba Yol (1995),luisitomartí caridadravelo raúlcarbonell ángelmuñiz new york intentionally misspelled title snowman snowball fight comedy drama 
134,Sonic Outlaws (1995),lloyddunn chrisgrigg markhosler craigbaldwin copyright guerilla art media documentary 
135,Down Periscope (1996),kelseygrammer laurenholly robschneider hughwilson woman in uniform cook electrician sonar operator comedy 
136,From the Journals of Jean Seberg (1995),marybethhurt jeanseberg markrappaport marriage fbi black panthers politics documentary 
137,Man of the Year (1995),vivianpaxton claudettesutherland michaelornstein dirkshafer magazine centerfold contest date documentary 
138,"Neon Bible, The (1995)",jacobtierney drakebell genarowlands terencedavies teenage boy 1940s british renaissance georgia drama 
139,Target (1995),mohanagashe barunchakraborty champa sandipray nan action drama 
140,Up Close and Personal (1996),robertredford michellepfeiffer stockardchanning joandidion mentor protege relationship journalism television news television broadcast drama romance 
141,"Birdcage, The (1996)",robinwilliams genehackman nathanlane jeanpoiret gay father remake of french film based on play transvestism comedy 
142,Shadows (Cienie) (1988),nan nan nan drama 
143,Gospa (1995),martinsheen michaelyork morganfairchild ivanaralica priest nun semi religious propaganda drama 
144,"Brothers McMullen, The (1995)",sharialbert maxinebahns catharinebolz edwardburns irish catholic long island low budget film loss of father comedy 
145,Bad Boys (1995),lisaboyle michaeltaliferro emmanuelxuereb georgegallo criminal investigation murder investigation usa united states action comedy crime drama thriller 
146,"Amazing Panda Adventure, The (1995)",stephenlang ryanslater yiding johnwilcox boyfriend girlfriend relationship actor shares first name with character no opening credits panda adventure children 
147,"Basketball Diaries, The (1995)",leonardodicaprio lorrainebracco marilynsokol jimcarroll addiction childhood friend student athlete basketball drama 
148,"Awfully Big Adventure, An (1995)",alanrickman hughgrant georginacates mikenewell accidental incest overalls speech man wears eyeglasses drama 
149,Amateur (1994),isabellehuppert martindonovan elinalöwensohn halhartley pornographer new york city nun amnesia crime drama thriller 
150,Apollo 13 (1995),tomhanks billpaxton kevinbacon jimlovell 1970s survival astronaut space mission adventure drama imax 
151,Rob Roy (1995),liamneeson jessicalange johnhurt alansharp scotland highlands 18th century flintlock pistol action drama romance war 
152,"Addiction, The (1995)",lilitaylor christopherwalken annabellasciorra nicholasst.john psychotronic film vampire new york drugs drama horror 
153,Batman Forever (1995),valkilmer tommyleejones jimcarrey bobkane bruce wayne character batman character alfred pennyworth character harvey dent character action adventure comedy crime 
154,Beauty of the Day (Belle de jour) (1967),nan nan nan drama 
155,Beyond Rangoon (1995),patriciaarquette uaungko francesmcdormand johnboorman burma escape dictatorship doctor adventure drama war 
156,Blue in the Face (1995),loureed michaelj.fox roseannebarr waynewang bare breasts topless female nudity husband wife relationship cigar smoking comedy drama 
157,Canadian Bacon (1995),johncandy alanalda rheaperlman michaelmoore international relations the white house united states president comedy war 
158,Casper (1995),chaunceyleopardi spencervrooman malachipearson josephoriolo ghost mansion spirit friendly ghost adventure children 
159,Clockers (1995),harveykeitel johnturturro delroylindo richardprice italian american jewish american brooklyn bridge reference to rosa parks crime drama mystery 
160,Congo (1995),lauralinney dylanwalsh erniehudson michaelcrichton lost city gorilla diamond talking gorilla action adventure mystery sci-fi 
161,Crimson Tide (1995),denzelwashington genehackman mattcraven michaelschiffer submarine u.s. navy 1990s submarine captain drama thriller war 
162,Crumb (1994),robertcrumb alinekominsky-crumb charlescrumb robertcrumb robert crumb cartoonist underground comic psychotronic film documentary 
163,Desperado (1995),antoniobanderas salmahayek joaquimdealmeida robertrodriguez contemporary western mexican one against many lone wolf action romance western 
164,Devil in a Blue Dress (1995),denzelwashington tomsizemore jenniferbeals waltermosley african american jazz club private detective missing person crime film-noir mystery thriller 
165,Die Hard: With a Vengeance (1995),brucewillis jeremyirons samuell.jackson jonathanhensleigh john mcclane character time bomb good versus evil male butt clench action crime thriller 
166,"Doom Generation, The (1995)",jamesduval rosemcgowan johnathonschaech greggaraki one female two males threesome pubic hair fellatio threesome comedy crime drama 
167,Feast of July (1995),embethdavidtz tombell gemmajones h.e.bates sex scene cobbler the shoemaker shoe 19th century drama 
168,First Knight (1995),seanconnery richardgere juliaormond lornecameron based on legend love triangle romantic drama arthurian legend action drama romance 
169,Free Willy 2: The Adventure Home (1995),jasonjamesrichter franciscapra marykateschellhardt keithwalker whale boy oil tanker oil spill adventure children drama 
170,Hackers (1995),jonnyleemiller angelinajolie jessebradford rafaelmoreu computer virus computer cyberpunk hacker action adventure crime thriller 
171,Jeffrey (1995),stevenweber peterjacobson tomcayler christopherashley gay gay priest new york city gay lead character comedy drama 
172,Johnny Mnemonic (1995),keanureeves dinameyer ice-t williamgibson implanted memory virtual reality cyberspace erased memory action sci-fi thriller 
173,Judge Dredd (1995),sylvesterstallone armandassante robschneider johnwagner based on comic book cult film judge police action crime sci-fi 
174,Jury Duty (1995),paulyshore tiacarrere stanleytucci barbarawilliams jury dog court hotel comedy 
175,Kids (1995),leofitzpatrick sarahhenderson justinpierce harmonykorine virgin rape swimming in underwear sexual abuse drama 
176,Living in Oblivion (1995),stevebuscemi catherinekeener dermotmulroney tomdicillo neo screwball comedy looking at oneself in a mirror 1990s filmmaking comedy 
177,Lord of Illusions (1995),scottbakula j.trevoredmond danielvonbargen clivebarker neo noir private detective magician illusionist horror 
178,Love & Human Remains (1993),thomasgibson ruthmarshall cameronbancroft denysarcand lesbian dominatrix gay sex comedy drama 
179,Mad Love (1995),chriso'donnell drewbarrymore matthewlillard paulamilne hitchhiking brief female frontal nudity attempted suicide voyeur drama romance 
180,Mallrats (1995),shannendoherty jeremylondon jasonlee kevinsmith mall jay and silent bob mini dress blonde comedy romance 
181,Mighty Morphin Power Rangers: The Movie (1995),karanashley johnnyyongbosch stevecardenas johnkamps costume fake mustache warrioress prehistory action children 
182,Moonlight and Valentino (1995),elizabethperkins whoopigoldberg shadiasimmons ellensimon female rear nudity sister sister relationship house painter widow drama romance 
183,Mute Witness (1994),marinazudina fayripley evanrichards anthonywaller mute chase russian mafia cult film comedy horror thriller 
184,Nadja (1994),elinalöwensohn nicratner karlgeary michaelalmereyda vampire female vampire boxing practice morgue drama 
185,"Net, The (1995)",sandrabullock jeremynortham dennismiller johnbrancato computer identity identity theft computer hacker action crime thriller 
186,Nine Months (1995),hughgrant juliannemoore tomarnold patrickbraoudé time for title bad dream close up of eyes close up of lips comedy romance 
187,Party Girl (1995),parkerposey anthonydesando guillermodíaz harrybirckmayer female stockinged legs title directed by female triple f rated library comedy 
188,"Prophecy, The (1995)",christopherwalken eliaskoteas virginiamadsen gregorywiden profanity porn magazine pizza black comedy fantasy horror mystery 
189,Reckless (1995),miafarrow tonygoldwyn juanabarrios craiglucas christmas female protagonist fictional game show trauma comedy fantasy 
190,Safe (1995),juliannemoore xanderberkeley deannorris toddhaynes psychiatrist housewife allergy female protagonist thriller 
191,"Scarlet Letter, The (1995)",demimoore garyoldman robertduvall nathanielhawthorne 17th century adultery letter swimming drama romance 
192,The Show (1995),afrikabambaataa kurtisblow sean'diddy'combs craigmack hip hop concert film vulgarity documentary 
193,Showgirls (1995),elizabethberkley kylemaclachlan ginagershon joeeszterhas stripper lap dancing female nudity striptease drama 
194,Smoke (1995),giancarloesposito josézúñiga stephengevedon paulauster smoke cigarette smoking death of wife year 1990 comedy drama 
195,Something to Talk About (1995),juliaroberts dennisquaid robertduvall calliekhouri adulterous husband female protagonist reconciliation scandal comedy drama romance 
196,Species (1995),benkingsley michaelmadsen alfredmolina dennisfeldman interspecies sex sex with an alien woman seduction sexual desire horror sci-fi 
197,"Stars Fell on Henrietta, The (1995)",robertduvall aidanquinn francesfisher jameskeach child in jeopardy family in jeopardy real life mother and daughter play mother and daughter oil field wildcatter drama 
198,Strange Days (1995),ralphfiennes angelabassett juliettelewis jamescameron cyberpunk virtual reality murder rape action crime drama mystery sci-fi thriller 
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",nan nan nan drama musical romance 
200,"Tie That Binds, The (1995)",darylhannah keithcarradine moirakelly wesleystrick man tied up bound and gagged woman tied up held hostage thriller 
201,Three Wishes (1995),patrickswayze maryelizabethmastrantonio josephmazzello cliffordgreen son drifter dog baseball drama fantasy 
202,Total Eclipse (1995),leonardodicaprio davidthewlis romanebohringer christopherhampton poet 1870s pregnant wife absinthe drama romance 
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",wesleysnipes patrickswayze johnleguizamo douglascarterbeane drag queen on the road new york city domestic violence comedy 
204,Under Siege 2: Dark Territory (1995),stevenseagal ericbogosian everettmcgill richardhatem repeat sequel time bomb good versus evil man kills a woman action 
205,Unstrung Heroes (1995),andiemacdowell johnturturro michaelrichards dianekeaton uncle nephew relationship terminal illness based on memoir eccentricity comedy drama 
206,Unzipped (1995),roseannebarr sandrabernhard robertbest isaacmizrahi fashion one word title fashion runway modeling documentary 
207,"Walk in the Clouds, A (1995)",keanureeves aitanasánchez-gijón anthonyquinn robertmarkkamen falling in love 1940s post world war ii aftermath of world war ii drama romance 
208,Waterworld (1995),kevincostner chaimjeraffi rickaviles peterrader nonconsensual haircut post apocalypse swimming global warming action adventure sci-fi 
209,White Man's Burden (1995),johntravolta harrybelafonte kellylynch desmondnakano black bourgeois alternate reality alternate history dystopia drama 
210,Wild Bill (1995),jeffbridges ellenbarkin johnhurt peterdexter black and white to color two gun holster gun holster gun western 
211,"Browning Version, The (1994)",albertfinney gretascacchi matthewmodine terencerattigan army central intelligence agency cricket the sport firework drama 
212,Bushwhacked (1995),danielstern jonpolito bradsullivan johnjordan slapstick comedy manhunt fbi agent stupidity adventure comedy crime mystery 
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),olegmenshikov nikitamikhalkov ingeborgadapkunaite nikitamikhalkov stalinism year 1936 soviet citizen nkvd drama 
214,Before the Rain (Pred dozhdot) (1994),grégoirecolin josifjosifovski borisdelcevski milchomanchevski endless loop brother brother incest violence monk drama war 
215,Before Sunrise (1995),ethanhawke juliedelpy andreaeckert richardlinklater conversations train french tourist drama romance 
216,Billy Madison (1995),adamsandler darrenmcgavin bridgettewilson-sampras timherlihy crude humor banana peel high school graduation academic decathlon comedy 
217,"Babysitter, The (1995)",aliciasilverstone jeremylondon j.t.walsh robertcoover seductive minidress sexy teenager sexpot drama thriller 
218,Boys on the Side (1995),whoopigoldberg mary-louiseparker drewbarrymore donroos lesbian female protagonist terminal illness domestic violence comedy drama 
219,"Cure, The (1995)",bradrenfro aerykegan delphinefrench robertkuhn tickling bare chested male bare chested boy bare chested teenage boy drama 
220,Castle Freak (1995),jeffreycombs barbaracrampton jonathanfuller stuartgordon castle monster blind girl sex scene horror 
222,Circle of Friends (1995),chriso'donnell minniedriver geraldineo'rawe andrewdavies student pregnancy 1950s ireland drama romance 
223,Clerks (1994),briano'halloran jeffanderson marilynghigliotti kevinsmith friendship low budget film friend convenience store comedy 
224,Don Juan DeMarco (1995),marlonbrando johnnydepp fayedunaway lordbyron psychiatrist sex scene attempted suicide character name as title comedy drama romance 
225,Disclosure (1994),michaeldouglas demimoore donaldsutherland michaelcrichton casting couch sexual harassment seduction fellatio drama thriller 
226,Dream Man (1995),patsykensit brucegreenwood andrewmccarthy renébonnière vision psychic erotica police thriller 
227,Drop Zone (1994),wesleysnipes garybusey yancybutler tonygriffin terrorist parachute skydiving death of brother action thriller 
228,Destiny Turns on the Radio (1995),dylanmcdermott nancytravis jameslegros robertramsey heist desert supernatural power las vegas nevada comedy 
229,Death and the Maiden (1994),sigourneyweaver benkingsley stuartwilson arieldorfman suspense minimal cast single set production dictatorship drama thriller 
230,Dolores Claiborne (1995),kathybates jenniferjasonleigh judyparfitt stephenking f rated watching tv woman wears eyeglasses character name as title drama thriller 
